Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
BEST OF PARIS : 3 smartphone audioguided tours,no data provided,no data provided,£17,4-5 hours,Trip.com
Paris Private Tour: The Ghost of Edith Piaf Exploration Game,no data provided,no data provided,£4,1 hour,Trip.com
"Mysteries & Legends, smartphone audioguided walking tour",no data provided,no data provided,£9,1-2 hours,Trip.com
"Virtual tour: Paris Live! Explore Montmartre, the Artists' Quarter",no data provided,no data provided,£9,45 minutes,Trip.com
Explore unique city spots and enjoy a snack,no data provided,no data provided,£34,1-2 hours,Trip.com
Louvre By Night Visit Experience,no data provided,no data provided,£65,2 hours,Trip.com
Skip-the-line l'Orangerie Museum Guided Tour - Semi-Private 8ppl Max,no data provided,no data provided,£91,2 hours,Trip.com
French Caviar & Champagne Tasting Masterclass by Passport Gourmet,no data provided,no data provided,£68,30-45 minutes,Trip.com
Paris Louvre Museum Tour: Highlights of a world-famous palace,no data provided,no data provided,£83,2 hours,Trip.com
Historical Walk through Paris with a Local,no data provided,no data provided,£59,2 hours,Trip.com
Private Walking Tour of Paris in the Second World War,no data provided,no data provided,£90,3 hours,Trip.com
Semi-Private Everything but the Mona Lisa with Skip-the-Line Access,no data provided,no data provided,£87,3 hours,Trip.com
Skip-the-line Les Invalides World War Museum Guided Tour - Private Tour,no data provided,no data provided,£91,2 hours,Trip.com
Paris Photoshoot with a Private Travel Photographer | Paris Photo Tours,no data provided,no data provided,£89,30-60 minutes,Trip.com
Paris: Louvre Museum Guided Tour with Free Seine Cruise Tickets ,no data provided,no data provided,£84,3 hours,Trip.com
Paris Night Segway tour,no data provided,no data provided,£82,2 hours,Trip.com
Paris' Best Flavours,no data provided,no data provided,£65,2-3 hours,Trip.com
See and Be Seen Paris Celebrity Lifestyle Walking Tour,no data provided,no data provided,£77,2-3 hours,Trip.com
French Classic Citroen Paris Discovery City Tour,no data provided,no data provided,£68,1 hour,Trip.com
Musée d'Orsay Impressionists Semi-Private Guided Tour,no data provided,no data provided,£83,1-2 hours,Trip.com
Semi-Private French Revolution and Conciergerie tour,no data provided,no data provided,£84,2-3 hours,Trip.com
Full Day Audioguided E-Scooter Tour in Paris (App + GPS),no data provided,no data provided,£64,8 hours,Trip.com
Tour in 2CV Paris 1h,no data provided,no data provided,£85,1 hour,Trip.com
Le Marais District & Jewish Quarter Guided Walking Tour - Private Tour,no data provided,no data provided,£63,2-3 hours,Trip.com
Montmartre semi private walking tour,no data provided,no data provided,£87,2 hours,Trip.com
"Sports, fun and educational discovery of Paris",no data provided,no data provided,£89,2-3 hours,Trip.com
Paris: Belleville 3 Hour Walking Food Tour with a Local,no data provided,no data provided,£67,3 hours,GetYourGuide
Paris: Small-Group Catacombs Tour with Skip-the-Line Entry,no data provided,no data provided,£80,1-2 hours,GetYourGuide
The Best of Paris Original Food Tour,no data provided,no data provided,£109,3 hours,GetYourGuide
Lifestyle Tour Around the Louvre,no data provided,no data provided,£75,2-3 hours,GetYourGuide
"Paris: Guided tour of Le Marais, Paris's Gay Neighborhood",no data provided,no data provided,£75,2-3 hours,GetYourGuide
Paris: Le Marais Food Tour,no data provided,no data provided,£85,3 hours,GetYourGuide
Paris: Private Dark Chocolate Tasting,no data provided,no data provided,£102,2 hours,GetYourGuide
Driver service: Paris to Deauville and Honfleur round trip - 12 hours,no data provided,no data provided,£94,12 hours,Trip.com
Eiffel Tower Guided Tour in German With Second Floor Access,no data provided,no data provided,£85,2 hours,Trip.com
Eiffel Tower Skip the Line Ticket Summit Access by Elevator,no data provided,no data provided,£52,1-2 hours,Trip.com
Skip-the-line Invalides Dome Louis XIV & Napoleon Tour - Semi-Private 8ppl Max,no data provided,no data provided,£90,2 hours,Trip.com
Eiffel Tower Summit Skip the Line Access and Immersive Paris Tour & Cruise,no data provided,no data provided,£87,3 hours,Trip.com
Paris Catacombs Skip-the-Line Ticket with Self-Guided Tour,no data provided,no data provided,£52,2 hours,Trip.com
Centre Pompidou Paris Skip-The-Line Small-Group Guided Museum Tour ,no data provided,no data provided,£91,2-3 hours,Trip.com
Paris City Tour with Seine River Cruise,no data provided,no data provided,£50,2 hours,Trip.com
Eiffel Tower Summit Access with Audio Guided Visit and Optional Cruise,no data provided,no data provided,£65,2 hours,Trip.com
"Eiffel Tower Summit Access, Seine Cruise & Dinner on Champs-Elysees Avenue",no data provided,no data provided,£87,5 hours,Trip.com
Chic and Classic: Saint-Germain-des-Prés Walking Tour,no data provided,no data provided,£77,2-3 hours,Trip.com
Skip-the-line Les Invalides World War Museum Guided Tour - Semi-Private 8ppl Max,no data provided,no data provided,£90,1-2 hours,Trip.com
PARIS: Eiffel Tower Second Level Access & Interactive Experience,no data provided,no data provided,£68,2 hours,Trip.com
Paris Latin Quarter Food Tour ,no data provided,no data provided,£85,3 hours,Trip.com
Private transfer from CDG airport to DisneyLand Paris,no data provided,no data provided,£87,30-45 minutes,Trip.com
Paris Brunch Experience by Luxury Bus,no data provided,no data provided,£60,1-2 hours,Trip.com
French revolution and US independence in Paris,no data provided,no data provided,£51,2-3 hours,Trip.com
Guided Walking Tour of Saint Germain and Latin Quarter,no data provided,no data provided,£73,3-4 hours,Trip.com
Scandals: Louvre (Semi-Private) With Skip-The-Line Access,no data provided,no data provided,£87,3 hours,Trip.com
Sunrise Run & Sightseeing in Paris,no data provided,no data provided,£70,1-2 hours,Trip.com
Private Airport Transfer from Paris (75) to Orly Airport (ORY) -Minivan,no data provided,no data provided,£77,No data provided,Trip.com
Segway tour Capital sites,no data provided,no data provided,£59,1-2 hours,Trip.com
Paris: Orsay Art Museum Tour ,no data provided,no data provided,£77,2 hours,Trip.com
Paris Gourmet Tasting Tour in Eiffel Tower District,no data provided,no data provided,£96,3 hours,Trip.com
Full-Day Family Bike Rental in Paris,no data provided,no data provided,£83,No data provided,Trip.com
Paris Street Photography Walk,no data provided,no data provided,£77,No data provided,Trip.com
Paris Shopping Tour,no data provided,no data provided,£52,2 hours,Trip.com
Orsay Art Museum in Paris,no data provided,no data provided,£83,2 hours,Trip.com
Private Guided Photoshoot Experience at the Eiffel Tower,no data provided,no data provided,£69,1 hour,Trip.com
Semi-Private Louvre Masterpieces with Skip-the-Line-Access,no data provided,no data provided,£86,3 hours,Trip.com
The Covered Passages of Paris: Small-Group Walking Tour,no data provided,no data provided,£86,3 hours,Trip.com
Custom Tours in Paris,no data provided,no data provided,£66,No data provided,Trip.com
Catacombs Tour in Paris ,no data provided,no data provided,£68,2 hours,Trip.com
Semi-Private Homoerotic Louvre Tour with Skip-The-Line Access,no data provided,no data provided,£87,3 hours,Trip.com
"4 hours to see the Best, EXPLORE FOOD TOURS.",no data provided,no data provided,£88,4 hours,Trip.com
Classic Tour of Paris in 2CV CITROEN,no data provided,no data provided,£55,1 hour,Trip.com
Louvre Museum Guided Tour with Skip-the-line Tickets,no data provided,no data provided,£51,2 hours,Trip.com
Parcours Bois de Vincennes - Segway Tour of Paris,no data provided,no data provided,£59,2-3 hours,Trip.com
Skip-the-Line Eiffel Tower Small Group Tour with Priority Access,no data provided,no data provided,£50,1-2 hours,Trip.com
French Cinema Eiffel Tower / INCEPTION,no data provided,no data provided,£58,4 hours,Trip.com
"Private Tour : Notre-Dame, Ile de la Cité and St Severin Church",no data provided,no data provided,£81,No data provided,Trip.com
Private Walking Tour of Montmartre,no data provided,no data provided,£96,2-3 hours,Trip.com
One-hour private photo shoot in Paris,no data provided,no data provided,£59,1 hour,Trip.com
Paris Tour including Louvre Museum Private Visit,no data provided,no data provided,£96,3 hours,Trip.com
French pastries and market tasting tour around Eiffel Tower for private groups,no data provided,no data provided,£83,3 hours,Viator
Private tour of Paris's hidden highlights with a local,no data provided,no data provided,£97,3 hours,Viator
Visit of Versailles with guide-driver speaking Portuguese,no data provided,no data provided,£91,4 hours,Viator
"The Covered Passages, a journey out of time",no data provided,no data provided,£101,2-3 hours,Viator
Skip the Line Louvre Museum with Experimented and Professional Tour Guide,no data provided,no data provided,£104,2-3 hours,Viator
Drinks & Bites in Paris Private Tour,no data provided,no data provided,£109,2-3 hours,Viator
Paris Louvre Museum : 2-Hour Audio Guide Tour (Direct Access),no data provided,no data provided,£67,2 hours,Viator
Paris: Louvre Museum Guided Tour with Free Seine Cruise Tickets,no data provided,no data provided,£83,3 hours,Viator
Layover in Paris a Private Tour with a local: Best Highlights of Paris,no data provided,no data provided,£97,4 hours,Viator
Private Walking Tour of Montmartre,no data provided,no data provided,£96,2-3 hours,Viator
Semi-Private Homoerotic Louvre Tour with Skip-The-Line Access,no data provided,no data provided,£86,3 hours,Viator
Highlights & Hidden Gems of Montmartre: Private City Tour,no data provided,no data provided,£102,3 hours,Viator
Marais Gallery Walk - Private Tour,no data provided,no data provided,£64,2 hours,Viator
Small-Group Marché du Président Wilson Food Tour in Paris,no data provided,no data provided,£71,2 hours,Viator
Paris City Tour with Portuguese speaking driver guide,no data provided,no data provided,£69,3-4 hours,Viator
Musée Marmottan Monet 2-h private guided tour about Impressionism in Paris,no data provided,no data provided,£63,2 hours,Viator
French Caviar & Champagne Tasting Masterclass by Passport Gourmet,no data provided,no data provided,£67,30-45 minutes,Viator
Private Motorcycle Sidecar Tour of Paris Monuments,no data provided,no data provided,£97,2 hours,Viator
Private tour of Paris's coolest neighbourhood tour - Les Marais with a local,no data provided,no data provided,£74,3 hours,Viator
Semi-Private Everything but the Mona Lisa with Skip-the-Line Access,no data provided,no data provided,£86,3 hours,Viator
Private Tour of Parisian Markets including hidden passages with a local,no data provided,no data provided,£74,3 hours,Viator
19th century Paris pastry and literature walk and tasting for private groups,no data provided,no data provided,£58,2 hours,Viator
Small-Group Musee d'Orsay Tour: Meet the Impressionists,no data provided,no data provided,£53,2 hours,Viator
Orsay Art Museum in Paris,no data provided,no data provided,£82,2 hours,Viator
Kickstart Paris Private Tour. City Highlights for Newcomers,no data provided,no data provided,£91,2-3 hours,Viator
Paris Saint Germain District Essential of French Gastronomy Walking Food Tour,no data provided,no data provided,£83,2-3 hours,Viator
Fascinating Architecture of Paris on Private Tour with a local,no data provided,no data provided,£69,3 hours,Viator
Walking tour with private guide the Marais and its mansions + pastry shop,no data provided,no data provided,£91,1 hour,Viator
The romantic side of Paris (Fall in love again) - Private tour with a local,no data provided,no data provided,£69,3 hours,Viator
Paris Private Tour by Vintage Car with Wine Tasting,no data provided,no data provided,£86,2-3 hours,Viator
Paris Tour including Louvre Museum Private Visit,no data provided,no data provided,£95,3 hours,Viator
French Classic Citroen Paris Discovery City Tour,no data provided,no data provided,£67,1 hour,Viator
Historical Walk through Paris with a Local,no data provided,no data provided,£59,2 hours,Viator
Private Tour of Paris's best street food & drinks with a local,no data provided,no data provided,£74,3 hours,Viator
Private Paris Walking tour: Le Marais in the French Revolution,no data provided,no data provided,£94,2-3 hours,Viator
Custom Tours in Paris,no data provided,no data provided,£65,1 hour,Viator
Monalisa and Louvre Museum Tour : VIP Small Group with Direct Access,no data provided,no data provided,£84,3 hours,Viator
Belleville Gallery Walk - Private Tour,no data provided,no data provided,£64,3 hours,Viator
"Louvre Skip the Line Ticket with Audio Guide Option, Lunch & Seine River Cruise",no data provided,no data provided,£68,5-7 hours,Viator
Eiffel Tower: Spanish Guided Tour in 1st and 2nd Floor With Ticket For Summit,no data provided,no data provided,£71,2 hours,Viator
Parisian Lifestyle Private Photo Tour,no data provided,no data provided,£59,1-2 hours,Viator
"Private tour of Artistic Paris - Paintings, Graffiti, Architecture with a local",no data provided,no data provided,£69,3 hours,Viator
